symbol,pricesale,marketcap,avgvol,px,peg,dividend,divdate
JNJ,4.07,287150000000.0,7590740.0,103.78,3.13,2.92,11/20/2015
NOC,1.45,34670000000.0,1184100.0,190.08,2.68,1.69,11/25/2015
A,3.459,13970000000.0,2938050.0,42.055,2.07,1.12,9/25/2015
MRO,1.23,8380000000.000001,12214300.0,12.38,0.97,5.36,11/16/2015
MRK,3.74,148760000000.0,10998400.0,53.25,3.89,3.53,12/11/2015
BIIB,6.51,68730000000.0,2414990.0,308.34,1.28,0.0,0
VNTV,2.27,6900000000.0,1731640.0,47.55,1.43,0.0,0
SWKS,4.65,15140000000.0,3881860.0,79.19,0.61,1.31,11/17/2015
CTXS,3.67,11840000000.0,1885070.0,76.96,1.26,0.0,0
GPRO,1.39,2530000000.0,8739100.0,18.4,0.67,0.0,0
JAZZ,6.7,8790000000.0,707345.0,142.95,0.86,0.0,0
LMT,1.48,67540000000.00001,1344190.0,219.8,2.63,3.03,11/27/2015
LITB,0.41,143250000.0,89000.0,3.03,0.31,0.0,0
MA,11.57,111010000000.0,3646700.0,98.87,1.87,0.78,10/7/2015
COST,0.61,71560000000.0,2210100.0,162.71,3.61,0.99,11/10/2015
CIEN,1.16,2840000000.0,2971780.0,20.92,0.88,0.0,0
BAC,2.24,179310000000.0,79420000.0,17.05,1.26,1.17,12/2/2015
STI,2.82,22200000000.0,4040310.0,43.31,2.33,2.24,11/25/2015
RHT,7.75,15300000000.0,1506700.0,83.65,2.63,0.0,0
BMRN,19.08,17059999999.999998,1487140.0,105.77,-8.14,0.0,0
DIS,3.35,175800000000.0,9146220.0,106.34,1.5,1.33,12/10/2015
UTX,1.34,85950000000.0,4887920.0,96.9,1.48,2.7,11/10/2015
AZN,3.55,87190000000.0,3083940.0,34.49,8.56,2.71,8/12/2015
BMY,7.02,115980000000.0,5986210.0,69.52,1.91,2.23,12/30/2015
MGM,1.41,12690000000.0,5826750.0,22.52,1.42,0.0,2/8/2001
KEY,2.7,11070000000.0,14559800.0,13.25,1.35,2.31,11/27/2015
AXP,2.18,69050000000.0,5538650.0,70.16,1.72,1.68,10/7/2015
MSFT,4.96,449800000000.0,36237300.0,56.31,2.25,2.57,11/17/2015
ACN,2.13,66470000000.0,2485100.0,105.86,2.03,2.12,10/14/2015
GILD,4.68,147230000000.0,9675600.0,102.16,0.6,1.69,12/14/2015
VOYA,0.68,8029999999.999999,1811490.0,37.27,1.13,0.11,11/24/2015
XOM,1.23,325170000000.0,14938100.0,78.11,-2.1,3.76,11/9/2015
UNH,0.77,113340000000.0,4162270.0,118.92,1.45,1.7,12/2/2015
AAL,0.65,26980000000.0,8597640.0,42.8,0.59,0.93,11/3/2015
AAP,1.12,11080000000.0,1201960.0,151.4,1.5,0.16,12/22/2015
BID,1.77,1730000000.0,1126110.0,25.9,0.73,1.5,11/27/2015
MCD,4.28,109660000000.0,6512220.0,119.43,2.99,3.02,11/27/2015
C,2.27,155800000000.0,16472000.0,52.3,0.29,0.38,10/29/2015
CRM,8.34,52550000000.0,3520880.0,79.14,3.38,0.0,0
PG,2.94,217840000000.0,8775920.0,80.07,2.55,3.33,10/21/2015
SBUX,4.71,90310000000.0,8075840.0,60.82,1.78,1.33,11/9/2015
PSX,0.45,43750000000.0,3098240.0,82.01,1.41,2.74,11/10/2015
CSCO,2.82,139740000000.0,25903000.0,27.53,1.28,3.08,10/1/2015
APEI,0.96,318810000.0,110645.0,19.6,1.12,0.0,0
FB,18.85,300390000000.0,24630300.0,106.22,1.62,0.0,0
AGN,6.33,124170000000.0,4737420.0,315.06,2.26,0.1,0
ERIC,1.1,31640000000.0,3261940.0,9.73,2.06,4.02,4/15/2015
BWP,2.52,3090000000.0,1062610.0,12.35,1.8,3.34,11/9/2015
MAR,6.14,17490000000.0,2845560.0,68.02,0.93,1.45,11/17/2015
MAN,0.32,6300000000.0,704800.0,85.54,1.58,1.89,11/27/2015
AMZN,3.21,323010000000.0,4285320.0,689.07,6.08,0.0,0
VMW,3.7,24010000000.0,2998840.0,57.03,1.02,0.0,0
MOS,1.1,9990000000.0,5028690.0,28.35,1.58,2.9,12/1/2015
MON,2.9,43500000000.0,3645460.0,98.89,1.83,2.22,10/7/2015
CVX,1.24,169550000000.0,10465200.0,90.09,-2.19,4.74,11/16/2015
CVS,0.73,109600000000.0,5622400.0,98.74,1.34,1.73,10/20/2015
CMG,3.31,15150000000.0,1260910.0,485.79,1.62,0.0,0
PCL,5.17,8369999999.999999,1436340.0,48.23,0.0,3.71,11/10/2015
BSX,3.42,25030000000.0,9339240.0,18.61,1.53,0.0,0
CAR,0.42,3610000000.0,2177310.0,35.95,0.67,0.0,2/23/2006
F,0.39,56240000000.0,26865100.0,14.17,0.43,4.23,10/28/2015
MMM,3.05,93530000000.0,2498020.0,151.91,2.78,2.75,11/18/2015
CELG,10.8,94810000000.0,4955260.0,120.68,1.06,0.0,0
WFC,3.34,280370000000.0,15182800.0,54.89,1.39,2.76,11/4/2015
EMC,2.02,49870000000.0,18705100.0,25.72,1.43,1.79,12/30/2015
COP,1.61,57530000000.0,8638880.0,46.6,3.02,6.4,10/15/2015
PEP,2.29,147360000000.0,4412840.0,101.15,3.59,2.82,12/2/2015
COH,2.17,9070000000.0,4549140.0,32.67,2.03,4.09,12/2/2015
AIG,1.31,77330000000.0,8720100.0,62.51,1.45,1.84,12/3/2015
MNST,11.35,30460000000.0,1110430.0,150.24,2.3,0.0,0
YUM,2.42,31830000000.0,5085620.0,73.81,2.34,2.52,10/14/2015
TSN,0.52,21550000000.0,4860620.0,53.78,1.21,1.12,11/27/2015
HUM,0.5,26530000000.0,1062690.0,179.0,1.75,0.66,12/28/2015
IBM,1.61,135180000000.0,4750210.0,139.34,1.29,3.77,11/6/2015
IBB,0.0,0.0,2348530.0,340.86,0.0,0.1,0
CAT,0.8,39990000000.0,6319980.0,68.69,11.28,4.5,10/22/2015
SINA,3.45,2890000000.0,898066.0,49.31,1.36,0.0,0
NFLX,7.74,49880000000.0,17093700.0,116.71,24.31,0.0,0
FITB,2.79,16090000000.0,8074840.0,20.25,2.51,2.54,12/29/2015
ESRX,0.58,59420000000.0,4043080.0,87.87,1.2,0.0,0
KLAC,3.86,10870000000.0,2283110.0,69.69,0.94,3.0,11/12/2015
N,9.82,6810000000.0,407975.0,85.62,15.44,0.0,0
MS,1.76,62400000000.0,12373900.0,32.23,0.83,1.86,10/28/2015
DOW,1.16,59850000000.0,13755600.0,51.66,2.04,3.57,12/29/2015
AA,0.55,13050000000.0,30845900.0,9.96,5.77,1.26,11/4/2015
ARLP,0.43,999310000.0,344970.0,13.47,-0.42,19.31,11/4/2015
SBAC,8.1,13260000000.0,1123120.0,105.1,-3.96,0.0,0
QCOM,3.0,75770000000.0,14077200.0,50.41,1.03,3.87,11/27/2015
BA,1.01,98090000000.0,3524190.0,146.41,1.74,2.56,11/4/2015
GSK,2.8,99230000000.0,3557260.0,41.04,2.12,5.84,11/10/2015
NTES,8.4,23770000000.0,1087680.0,180.65,1.05,1.23,11/24/2015
LLY,4.64,91490000000.0,5030460.0,86.2,1.94,2.37,11/10/2015
ORCL,4.14,155110000000.0,15478200.0,36.92,1.79,1.64,10/9/2015
ABBV,4.46,97760000000.0,9230040.0,59.8,0.76,3.96,10/13/2015
LNKD,10.76,29830000000.0,1541730.0,227.53,2.19,0.0,0
V,13.72,190430000000.0,8755520.0,78.35,1.72,0.72,11/10/2015
PRU,0.59,36890000000.0,2214390.0,82.17,0.88,3.44,11/20/2015
AVGO,5.97,40750000000.0,3492120.0,147.37,0.57,1.2,12/16/2015
LPLA,0.93,4070000000.0000005,763000.0,42.96,1.34,2.37,11/9/2015
SNY,2.78,113400000000.0,1568480.0,43.41,2.1,3.76,5/6/2015
BBL,1.36,60710000000.0,2150760.0,22.82,7.18,11.31,9/9/2015
DD,1.83,59010000000.0,6819520.0,67.33,11.78,2.35,11/10/2015
CL,3.7,60570000000.0,3219320.0,67.53,3.58,2.28,10/21/2015
TWTR,7.57,15030000000.0,21710200.0,22.23,0.98,0.0,0
VZ,1.46,190300000000.0,13053200.0,46.77,1.55,4.88,10/7/2015
WMT,0.41,197490000000.0,12497300.0,61.68,11.28,3.24,12/2/2015
ALLY,1.34,8940000000.0,3963260.0,18.64,0.62,0.0,0
INTC,2.99,165120000000.0,25260500.0,34.99,1.9,2.75,11/4/2015
ALSN,2.17,4450000000.0,1267890.0,26.01,0.98,2.33,11/12/2015
KITE,223.52,2770000000.0,957981.0,62.59,0.0,0.0,0
FSLR,1.85,6760000000.0,2145180.0,66.99,-2.56,0.0,0
RTN,1.64,37860000000.0,1735010.0,125.74,2.8,2.11,10/5/2015
DB,0.9,33729999999.999996,1756480.0,24.47,0.18,0.0,5/22/2015
WB,9.3,4040000000.0,540456.0,19.48,1.24,0.0,0
TRMB,2.37,5440000000.0,1772280.0,21.71,1.44,0.0,0
FEYE,5.79,3370000000.0,5692820.0,20.97,-0.61,0.0,0
BIDU,6.98,66410000000.0,4285490.0,192.13,2.52,0.0,0
USB,4.07,75230000000.0,6800310.0,43.01,2.55,2.39,12/29/2015
PXD,5.65,18590000000.0,2391930.0,124.47,126.22,0.07,9/28/2015
HCA,0.71,27900000000.0,4400180.0,68.44,1.21,0.0,12/13/2012
BLK,5.02,56800000000.0,753612.0,342.05,1.94,2.64,12/1/2015
FOXA,1.98,53760000000.0,11739800.0,27.3,0.99,1.09,9/4/2015
VIPS,1.61,8840000000.0,12780200.0,15.19,0.7,0.0,0
BRCM,4.18,35460000000.0,5434680.0,58.22,2.99,0.97,11/25/2015
LVS,2.86,35040000000.0,5852850.0,43.99,-9.05,6.06,12/18/2015
SCTY,13.93,4960000000.0,4418880.0,50.8,3.32,0.0,0
SOHU,0.95,1850000000.0,320975.0,56.41,-6.06,0.0,0
TXN,4.36,56970000000.0,6298720.0,56.16,2.06,2.69,10/28/2015
FL,1.22,8910000000.0,2668740.0,64.94,1.16,1.5,10/14/2015
MDT,4.22,109020000000.0,5643090.0,77.53,2.59,1.97,9/23/2015
ILMN,13.07,27970000000.0,2452530.0,191.07,2.92,0.0,0
YY,4.33,3450000000.0,611788.0,62.93,0.78,0.0,0
ABT,3.28,67530000000.0,6403730.0,45.27,2.06,2.34,10/13/2015
GOOGL,7.57,543510000000.0,2065330.0,790.3,1.63,0.0,0
LPG,3.68,656900000.0,281280.0,11.57,0.29,0.0,0
BBRY,2.09,4920000000.0,7216450.0,9.35,-0.29,0.0,0
KMB,2.49,46980000000.0,1599090.0,129.43,2.8,2.79,12/2/2015
VRX,3.52,35110000000.0,15611500.0,102.33,0.53,0.0,11/10/2010
NOK,1.76,25810000000.0,10200800.0,7.12,2.54,2.16,5/5/2015
GS,2.37,81210000000.0,2904170.0,182.01,1.85,1.42,11/30/2015
GG,2.31,9560000000.0,9054300.0,11.52,-6.06,2.04,12/15/2015
GE,2.14,313890000000.0,91691800.0,31.05,3.19,3.02,12/17/2015
GM,0.35,53420000000.0,12287600.0,34.33,0.33,4.2,12/16/2015
SAP,4.4,96020000000.0,990858.0,80.15,2.24,1.54,5/18/2015
JAH,1.48,12500000000.0,4089430.0,56.74,2.0,0.0,12/29/2011
WYNN,1.63,6940000000.0,4974930.0,68.64,-1.27,2.93,11/9/2015
AAPL,2.56,598340000000.0,43904200.0,107.32,0.8,1.95,11/5/2015
VIAV,0.84,1450000000.0,1683540.0,6.09,1.67,0.0,0
D,3.39,40890000000.0,2342840.0,68.68,3.38,3.86,11/23/2015
HD,1.95,169070000000.0,4852140.0,133.35,1.74,1.79,12/1/2015
YHOO,6.37,31510000000.0,15618400.0,33.37,-1.83,0.0,0
ADI,5.14,17650000000.0,2827800.0,56.55,1.73,2.83,12/2/2015
JUNO,317.03,4460000000.0,1092780.0,44.31,0.0,0.0,0
QUNR,13.86,7260000000.0,2570960.0,54.78,0.16,0.0,0
PANW,14.7,15190000000.0,1554840.0,176.79,2.38,0.0,0
IR,1.1,14570000000.0,2404120.0,55.83,1.99,2.14,12/9/2015
CLD,0.1,123280000.0,1527180.0,2.04,-0.43,0.0,0
CTRP,8.7,13330000000.0,7320040.0,47.09,0.82,0.0,6/10/2008
TRV,1.29,34770000000.0,1847060.0,114.29,2.37,2.17,12/8/2015
QIHU,5.5,8960000000.0,1910110.0,72.66,0.53,0.0,0
PFE,4.22,202170000000.0,35608500.0,32.75,3.41,3.69,11/4/2015
GIS,2.01,34750000000.0,3155160.0,58.56,3.38,3.01,10/7/2015
MJN,3.72,15640000000.0,2442670.0,79.33,2.74,2.1,12/10/2015
BABA,15.16,201010000000.0,18402000.0,81.68,1.26,0.0,0
TSLA,8.23,31180000000.0,3770850.0,238.09,-1.87,0.0,0
ALXN,17.22,43110000000.0,1448550.0,191.31,1.95,0.0,0
MHK,1.75,14040000000.0,739372.0,189.89,1.28,0.0,0
NVS,4.12,209710000000.0,1824560.0,87.53,2.35,3.14,3/2/2015
GOOG,7.39,530240000000.0,1986990.0,771.0,1.56,0.0,0
NKE,3.44,107940000000.0,9043040.0,63.25,2.33,0.97,12/7/2015
CYOU,1.6,1310000000.0,171747.0,25.05,0.01,0.0,8/15/2012
CBI,0.32,4160000000.0,1767750.0,39.65,0.96,0.72,12/16/2015
NVDA,3.7,17960000000.0,8371330.0,33.39,7.27,1.39,11/18/2015
BLUE,125.05,2380000000.0,1724330.0,64.76,-0.07,0.0,0
KO,4.2,189490000000.0,14295500.0,43.57,7.68,3.05,11/27/2015
KR,0.38,41240000000.0,8094820.0,42.31,1.92,1.0,11/10/2015
JPM,2.75,245090000000.0,14077100.0,66.59,1.37,2.68,10/2/2015
PLD,10.47,22670000000.0,2686000.0,43.24,2.83,3.8,12/11/2015
SIVB,4.43,6170000000.0,555517.0,119.73,1.71,0.0,5/12/1992
MTB,3.71,16350000000.000002,1351170.0,122.64,1.85,2.3,10/28/2015
T,1.54,213720000000.0,23335900.0,34.74,2.21,5.58,10/7/2015
CRUS,1.71,1950000000.0,1952280.0,30.69,0.58,0.0,0
RDS-A,0.49,145980000000.0,4136040.0,45.99,0.0,0.0,11/10/2015
